Model,Configuration,Final Train MSE,Final Test MSE,Final Dense MSE,Total Time (s),Time per Epoch (s),Epochs
MLP,depth_2_tanh,22.613187789916992,26.81678581237793,109.78752136230469,0.15294218063354492,0.015294218063354492,10
MLP,depth_2_relu,96.87359619140625,106.56200408935547,146.71768188476562,0.06001400947570801,0.006001400947570801,10
MLP,depth_2_silu,34.19696044921875,36.807701110839844,118.87997436523438,0.14631390571594238,0.014631390571594238,10
MLP,depth_3_tanh,9.984057426452637,11.749395370483398,57.18246078491211,0.22987794876098633,0.022987794876098634,10
MLP,depth_3_relu,34.937103271484375,38.72968673706055,127.45762634277344,0.13825607299804688,0.013825607299804688,10
MLP,depth_3_silu,15.000679016113281,19.569461822509766,84.29425048828125,0.18401503562927246,0.018401503562927246,10
MLP,depth_4_tanh,51.84395217895508,58.48750305175781,103.3084716796875,0.24887490272521973,0.024887490272521972,10
MLP,depth_4_relu,73.2668228149414,79.13127899169922,104.88896179199219,0.18109488487243652,0.01810948848724365,10
MLP,depth_4_silu,21.8875789642334,24.15575408935547,92.0769271850586,0.19213533401489258,0.019213533401489256,10
MLP,depth_5_tanh,25.604616165161133,29.601627349853516,96.82347869873047,0.2726008892059326,0.027260088920593263,10
MLP,depth_5_relu,36.914344787597656,43.660037994384766,89.082275390625,0.19876503944396973,0.019876503944396974,10
MLP,depth_5_silu,3.661097526550293,3.9790380001068115,24.485658645629883,0.23611688613891602,0.023611688613891603,10
MLP,depth_6_tanh,16.267616271972656,19.717714309692383,83.8961410522461,0.3011171817779541,0.03011171817779541,10
MLP,depth_6_relu,29.57139015197754,34.579105377197266,98.58092498779297,0.20421886444091797,0.020421886444091798,10
MLP,depth_6_silu,,,,0.13792109489440918,0.013792109489440919,10
SIREN,depth_2,15.654228210449219,16.724214553833008,51.85274887084961,0.1459500789642334,0.01459500789642334,10
SIREN,depth_3,119.40215301513672,150.73101806640625,142.77769470214844,0.23862123489379883,0.023862123489379883,10
SIREN,depth_4,148.08656311035156,169.45816040039062,154.12637329101562,0.2749607563018799,0.027496075630187987,10
SIREN,depth_5,93.9007568359375,103.34578704833984,103.90055084228516,0.3233180046081543,0.03233180046081543,10
SIREN,depth_6,107.10013580322266,160.65127563476562,144.5934295654297,0.39616990089416504,0.03961699008941651,10
KAN,grid_3,1.2024848,1.1984681,,1.5187792778015137,0.15187792778015136,1
KAN,grid_5,0.4214239,0.47876263,,1.869323968887329,0.18693239688873292,1
KAN,grid_10,0.1742583,0.21828145,,2.0241920948028564,0.20241920948028563,1
KAN,grid_20,0.088835575,0.14109392,,2.369093894958496,0.2369093894958496,1
KAN,grid_50,0.052763157,0.13295227,,3.1470630168914795,0.3147063016891479,1
KAN,grid_100,0.030982547,0.16577247,,5.174055814743042,0.5174055814743042,1
